,Week,Date,ReleaseStart,ReleaseEnd,Flowrate (kg/h),Comments,ReleaseID,ReleaseStartDateTime,ReleaseEndDateTime,Windspeed20m_Avg,Windspeed20m_Std,WindDir20m_Avg,WindDir20m_Std,WindDir20m_CV,WindShear_AvgStd,WeeklyReleaseID
100,3,2024-09-12,10:06:00,10:54:00,13.38,doublon 2,101,2024-09-12 10:06:00,2024-09-12 10:54:00,1.5426870748299315,0.4041927826133554,65.25907482993196,22.902278004816026,0.0636174389022667,0.2464015061793017,26
101,3,2024-09-12,11:07:30,11:55:00,4.14,,102,2024-09-12 11:07:30,2024-09-12 11:55:00,1.701191780821918,0.4315233212232746,83.09686301369862,50.1534756585598,0.1393152101626661,0.2705255264031906,27
102,3,2024-09-12,12:00:00,12:46:15,37.1,alternative satellite,103,2024-09-12 12:00:00,2024-09-12 12:46:15,1.897207142857143,0.6362184310713919,78.21119999999999,32.80087256211386,0.0911135348947607,0.3392284904706301,28
103,3,2024-09-12,13:28:00,14:15:00,50.88,,104,2024-09-12 13:28:00,2024-09-12 14:15:00,2.263678082191781,0.837338681817591,208.0859383561644,89.9378071789459,0.2498272421637386,0.388272273513625,29
104,3,2024-09-12,14:31:00,15:17:00,1.3,,105,2024-09-12 14:31:00,2024-09-12 15:17:00,1.9737536231884056,0.5893713102509941,272.62128985507246,20.699261078169314,0.0574979474393592,0.231249864478293,30
105,3,2024-09-12,15:28:00,16:15:00,210.0,FAAM plane flight: Flowrate of test n°4 (210 kg/h) instead of 80.1 kg/h,106,2024-09-12 15:28:00,2024-09-12 16:15:00,2.543455172413793,0.4838885457547467,234.87432413793104,24.503242097077315,0.0680645613807703,0.3624780117569957,31
106,3,2024-09-12,16:30:45,17:17:30,26.85,,107,2024-09-12 16:30:45,2024-09-12 17:17:30,2.3474333333333344,0.7024192940496751,239.22128,29.4684177089735,0.0818567158582597,0.388845942858642,32
107,3,2024-09-13,08:45:00,09:32:00,0.0,,108,2024-09-13 08:45:00,2024-09-13 09:32:00,0.8176456692913386,0.3477769429170756,191.0142992125984,57.1608210722064,0.1587800585339066,0.1958889375543834,33
108,3,2024-09-13,09:49:00,10:35:00,3.4,,109,2024-09-13 09:49:00,2024-09-13 10:35:00,0.9989448818897638,0.4437752417517803,228.13681102362204,75.60026116137827,0.2100007254482729,0.2448752770594094,34
109,3,2024-09-13,10:45:00,11:31:05,1.47,,110,2024-09-13 10:45:00,2024-09-13 11:31:05,1.543824427480916,0.6275743471851458,140.49045801526717,34.969102631018785,0.0971363961972744,0.3106279498968977,35
